Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,27.61,16.84
60.1,28.83,16.34
90.1,28.32,16.34
120.1,28.49,16.34
150.1,29.29,16.33
180.1,29.0,16.34
210.1,28.72,16.33
240.1,28.9,16.33
270.1,28.56,16.33
300.2,28.75,16.33
330.2,28.49,16.33
360.2,28.94,16.34
390.2,28.47,16.33
420.2,28.76,16.33
450.2,28.85,16.33
480.3,28.53,16.34
510.3,28.79,16.33
540.3,29.1,16.33
570.3,29.02,16.33
600.3,29.28,16.34
630.3,28.56,16.33
660.4,28.77,16.33
690.4,28.6,16.33
720.4,28.94,16.33
750.4,28.8,16.33
780.5,28.67,16.33
810.5,28.73,16.33
840.5,29.44,16.33
870.5,29.1,16.34
900.5,29.21,16.33
930.6,28.98,16.34
960.6,29.16,16.34
990.6,28.82,16.33
1020.6,28.94,16.33
1050.6,28.72,16.34
1080.6,29.19,16.33
1110.7,29.24,16.34
1140.7,29.27,16.33
1170.7,29.0,16.34
1200.7,28.73,16.31
1230.7,28.93,16.32
1260.7,29.1,16.33
1290.7,29.29,16.32
1320.7,29.15,16.32
1350.7,29.0,16.33
1380.7,28.71,16.32
1410.8,28.87,16.32
1440.8,28.56,16.32
1470.8,29.06,16.33
1500.8,29.03,16.32
1530.8,28.99,16.32
1560.8,29.03,16.32
1590.8,29.06,16.32
1620.9,28.58,16.32
1650.9,28.44,16.32
1680.9,28.89,16.32
1710.9,29.37,16.31
1740.9,28.5,16.31
1770.9,28.8,16.31
