Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,14.38,51.33
60.1,14.45,51.41
90.1,14.45,51.3
120.2,14.47,51.27
150.2,14.47,51.3
180.2,14.43,51.29
210.3,14.42,51.29
240.3,14.51,51.28
270.3,14.39,51.3
300.4,14.47,51.28
330.4,14.4,51.28
360.5,14.41,51.29
390.5,14.4,51.33
420.6,14.45,51.28
450.6,14.47,51.29
480.6,14.45,51.27
510.6,14.45,51.3
540.7,14.47,51.29
570.7,14.46,51.28
600.8,14.44,51.27
630.8,14.42,51.28
660.8,14.44,51.3
690.9,14.4,51.32
720.9,14.45,51.29
751.0,14.4,51.31
781.0,14.38,51.31
811.1,14.45,51.28
841.1,14.38,51.31
871.1,14.39,51.32
901.2,14.45,51.29
931.2,14.37,51.29
961.2,14.43,51.31
991.2,14.36,51.27
1021.3,14.38,51.32
1051.3,14.34,51.32
1081.4,14.36,51.3
1111.4,14.39,51.28
1141.5,14.41,51.29
1171.5,14.39,51.33
1201.6,14.41,51.31
1231.6,14.39,51.29
1261.6,14.4,51.29
1291.6,14.38,51.31
1321.7,14.43,51.3
1351.7,14.45,51.28
1381.8,14.39,51.27
1411.8,14.3,51.28
1441.9,14.45,51.29
1471.9,14.38,51.34
1502.0,14.41,51.26
1532.0,14.46,51.26
1562.0,14.39,51.3
1592.0,14.43,51.29
1622.0,14.39,51.3
1652.1,14.46,51.28
1682.1,14.45,51.28
1712.1,14.38,51.3
1742.2,14.43,51.28
1772.2,14.43,51.27
