Class_Index,precision,recall,f1-score,support
11,0.975609756097561,1.0,0.9876543209876543,40.0
25,0.925,0.8222222222222222,0.8705882352941177,45.0
84,0.85,0.8292682926829268,0.8395061728395061,41.0
8,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0
43,0.6081081081081081,0.9782608695652174,0.75,46.0
18,0.7142857142857143,0.7142857142857143,0.7142857142857143,28.0
73,0.7073170731707317,0.7073170731707317,0.7073170731707317,41.0
99,0.6346153846153846,0.7333333333333333,0.6804123711340206,45.0
15,0.5892857142857143,0.7674418604651163,0.6666666666666666,43.0
56,0.6410256410256411,0.6756756756756757,0.6578947368421053,37.0
94,0.627906976744186,0.627906976744186,0.627906976744186,43.0
87,0.48333333333333334,0.8787878787878788,0.6236559139784946,33.0
70,0.5084745762711864,0.7692307692307693,0.6122448979591837,39.0
40,0.5454545454545454,0.6857142857142857,0.6075949367088608,35.0
85,0.6428571428571429,0.5625,0.6,32.0
5,0.5081967213114754,0.7209302325581395,0.5961538461538461,43.0
82,0.4883720930232558,0.6774193548387096,0.5675675675675675,31.0
31,0.5882352941176471,0.5405405405405406,0.5633802816901409,37.0
30,0.6666666666666666,0.4864864864864865,0.5625,37.0
48,0.5384615384615384,0.5833333333333334,0.56,36.0
96,0.525,0.6,0.56,35.0
28,0.72,0.45,0.5538461538461539,40.0
49,0.5277777777777778,0.5588235294117647,0.5428571428571428,34.0
10,0.7619047619047619,0.42105263157894735,0.5423728813559322,38.0
20,0.8666666666666667,0.3939393939393939,0.5416666666666666,33.0
41,0.5,0.5714285714285714,0.5333333333333333,49.0
72,0.4,0.7857142857142857,0.5301204819277109,28.0
67,0.59375,0.475,0.5277777777777778,40.0
42,0.5714285714285714,0.47058823529411764,0.5161290322580645,34.0
21,0.4666666666666667,0.5384615384615384,0.5,39.0
81,0.45454545454545453,0.5357142857142857,0.4918032786885246,28.0
86,0.375,0.7058823529411765,0.4897959183673469,34.0
4,0.5,0.45161290322580644,0.4745762711864407,31.0
95,0.48148148148148145,0.4642857142857143,0.4727272727272727,28.0
6,0.47619047619047616,0.46511627906976744,0.47058823529411764,43.0
46,0.4358974358974359,0.4594594594594595,0.4473684210526316,37.0
27,0.6,0.35294117647058826,0.4444444444444444,34.0
92,0.38636363636363635,0.4473684210526316,0.4146341463414634,38.0
88,0.75,0.2857142857142857,0.41379310344827586,42.0
53,0.5833333333333334,0.3111111111111111,0.4057971014492754,45.0
61,0.3048780487804878,0.5208333333333334,0.38461538461538464,48.0
26,0.41025641025641024,0.35555555555555557,0.38095238095238093,45.0
54,0.4583333333333333,0.3235294117647059,0.3793103448275862,34.0
80,0.27058823529411763,0.575,0.368,40.0
93,0.2909090909090909,0.5,0.367816091954023,32.0
35,0.26595744680851063,0.5555555555555556,0.3597122302158273,45.0
63,0.3076923076923077,0.42857142857142855,0.3582089552238806,28.0
50,0.5882352941176471,0.2564102564102564,0.35714285714285715,39.0
78,0.42424242424242425,0.30434782608695654,0.35443037974683544,46.0
83,0.3191489361702128,0.38461538461538464,0.3488372093023256,39.0
