Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,22.14,27.29
60.1,22.34,27.28
90.1,22.61,27.27
120.1,22.46,27.27
150.1,22.4,27.27
180.2,22.59,27.27
210.2,22.78,27.27
240.2,22.25,27.27
270.2,22.29,27.27
300.3,22.46,27.27
330.3,22.37,27.28
360.3,22.49,27.28
390.3,22.32,27.27
420.4,22.76,27.27
450.4,22.47,27.27
480.4,22.88,27.27
510.4,22.45,27.27
540.4,22.7,27.27
570.5,21.83,27.27
600.5,22.04,27.27
630.6,22.07,27.27
660.6,22.08,27.27
690.6,22.31,27.27
720.7,22.81,27.27
750.7,22.47,27.27
780.7,22.45,27.27
810.7,21.72,27.27
840.8,22.39,27.27
870.8,22.43,27.27
900.8,22.69,27.27
930.8,22.57,27.27
960.8,22.11,27.27
990.9,22.46,27.27
1020.9,22.79,27.26
1050.9,22.75,27.27
1080.9,21.78,27.27
1110.9,22.56,27.27
1141.0,22.15,27.27
1171.0,22.06,27.26
1201.0,22.13,27.27
1231.0,22.29,27.27
1261.0,22.75,27.27
1291.1,22.9,27.27
1321.1,22.8,27.27
1351.1,22.76,27.27
1381.1,22.55,27.27
1411.2,22.31,27.27
1441.2,22.46,27.27
1471.2,22.65,27.26
1501.2,22.28,27.27
1531.2,22.35,27.27
1561.3,22.82,27.27
1591.3,22.82,27.27
1621.3,22.39,27.27
1651.3,21.97,27.27
1681.3,22.95,27.27
1711.4,22.58,27.27
1741.4,22.37,27.27
1771.4,22.52,27.27
