Class_Index,precision,recall,f1-score,support
11,0.8,1.0,0.8888888888888888,40.0
25,0.8809523809523809,0.8222222222222222,0.8505747126436781,45.0
8,0.9333333333333333,0.7567567567567568,0.835820895522388,37.0
84,0.7727272727272727,0.8292682926829268,0.8,41.0
87,0.64,0.9696969696969697,0.7710843373493976,33.0
15,0.7058823529411765,0.8372093023255814,0.7659574468085106,43.0
41,0.75,0.673469387755102,0.7096774193548387,49.0
18,0.7307692307692307,0.6785714285714286,0.7037037037037037,28.0
73,0.6226415094339622,0.8048780487804879,0.7021276595744681,41.0
72,0.5681818181818182,0.8928571428571429,0.6944444444444444,28.0
43,0.5301204819277109,0.9565217391304348,0.6821705426356589,46.0
85,0.7916666666666666,0.59375,0.6785714285714286,32.0
81,0.6785714285714286,0.6785714285714286,0.6785714285714286,28.0
70,0.5849056603773585,0.7948717948717948,0.6739130434782609,39.0
40,0.6486486486486487,0.6857142857142857,0.6666666666666666,35.0
88,0.6923076923076923,0.6428571428571429,0.6666666666666666,42.0
86,0.56,0.8235294117647058,0.6666666666666666,34.0
48,0.696969696969697,0.6388888888888888,0.6666666666666666,36.0
56,0.696969696969697,0.6216216216216216,0.6571428571428571,37.0
82,0.5454545454545454,0.7741935483870968,0.64,31.0
21,0.6,0.6153846153846154,0.6075949367088608,39.0
67,0.5,0.725,0.5918367346938775,40.0
31,0.48148148148148145,0.7027027027027027,0.5714285714285714,37.0
6,0.46875,0.6976744186046512,0.5607476635514018,43.0
93,0.4489795918367347,0.6875,0.5432098765432098,32.0
92,0.64,0.42105263157894735,0.5079365079365079,38.0
24,0.6842105263157895,0.3939393939393939,0.5,33.0
96,0.42857142857142855,0.6,0.5,35.0
80,0.3835616438356164,0.7,0.49557522123893805,40.0
42,0.75,0.35294117647058826,0.48,34.0
99,0.4883720930232558,0.4666666666666667,0.4772727272727273,45.0
68,0.5357142857142857,0.42857142857142855,0.47619047619047616,35.0
63,0.7142857142857143,0.35714285714285715,0.47619047619047616,28.0
49,0.3333333333333333,0.7941176470588235,0.46956521739130436,34.0
35,0.4032258064516129,0.5555555555555556,0.4672897196261682,45.0
94,0.5483870967741935,0.3953488372093023,0.4594594594594595,43.0
27,0.5714285714285714,0.35294117647058826,0.43636363636363634,34.0
76,0.6086956521739131,0.32558139534883723,0.42424242424242425,43.0
10,0.7857142857142857,0.2894736842105263,0.4230769230769231,38.0
52,0.30434782608695654,0.6363636363636364,0.4117647058823529,33.0
5,0.34375,0.5116279069767442,0.411214953271028,43.0
51,0.48148148148148145,0.35135135135135137,0.40625,37.0
22,0.34,0.4722222222222222,0.3953488372093023,36.0
89,0.4375,0.358974358974359,0.39436619718309857,39.0
50,0.4375,0.358974358974359,0.39436619718309857,39.0
28,0.3088235294117647,0.525,0.3888888888888889,40.0
20,0.8888888888888888,0.24242424242424243,0.38095238095238093,33.0
13,0.44,0.3333333333333333,0.3793103448275862,33.0
0,0.2911392405063291,0.5227272727272727,0.37398373983739835,44.0
9,0.2926829268292683,0.5,0.36923076923076925,48.0
30,0.3611111111111111,0.35135135135135137,0.3561643835616438,37.0
29,0.6,0.25,0.35294117647058826,36.0
4,0.5,0.25806451612903225,0.3404255319148936,31.0
95,0.3333333333333333,0.32142857142857145,0.32727272727272727,28.0
61,0.3137254901960784,0.3333333333333333,0.32323232323232326,48.0
26,0.23,0.5111111111111111,0.31724137931034485,45.0
59,0.2463768115942029,0.4146341463414634,0.3090909090909091,41.0
47,0.42857142857142855,0.23684210526315788,0.3050847457627119,38.0
64,0.3157894736842105,0.2727272727272727,0.2926829268292683,44.0
75,0.42105263157894735,0.2222222222222222,0.2909090909090909,36.0
2,0.27906976744186046,0.2926829268292683,0.2857142857142857,41.0
69,0.2857142857142857,0.2857142857142857,0.2857142857142857,28.0
53,0.6153846153846154,0.17777777777777778,0.27586206896551724,45.0
7,0.2631578947368421,0.2857142857142857,0.273972602739726,35.0
78,0.2972972972972973,0.2391304347826087,0.26506024096385544,46.0
57,0.35,0.21212121212121213,0.2641509433962264,33.0
79,0.42857142857142855,0.1875,0.2608695652173913,32.0
58,0.18269230769230768,0.4318181818181818,0.25675675675675674,44.0
65,0.375,0.1935483870967742,0.2553191489361702,31.0
91,0.2857142857142857,0.20408163265306123,0.23809523809523808,49.0
39,1.0,0.13513513513513514,0.23809523809523808,37.0
33,0.3125,0.15151515151515152,0.20408163265306123,33.0
3,0.17777777777777778,0.22857142857142856,0.2,35.0
36,0.14285714285714285,0.2857142857142857,0.19047619047619047,28.0
32,0.24,0.15384615384615385,0.1875,39.0
97,0.2777777777777778,0.1388888888888889,0.18518518518518517,36.0
17,0.1568627450980392,0.21621621621621623,0.18181818181818182,37.0
38,0.14285714285714285,0.24390243902439024,0.18018018018018017,41.0
19,0.22727272727272727,0.1388888888888889,0.1724137931034483,36.0
74,0.13333333333333333,0.17647058823529413,0.1518987341772152,34.0
83,0.125,0.1794871794871795,0.14736842105263157,39.0
23,0.17857142857142858,0.10204081632653061,0.12987012987012986,49.0
34,0.10869565217391304,0.15151515151515152,0.12658227848101267,33.0
12,0.1,0.13157894736842105,0.11363636363636363,38.0
98,0.1,0.11428571428571428,0.10666666666666667,35.0
54,0.09523809523809523,0.11764705882352941,0.10526315789473684,34.0
44,0.2222222222222222,0.06451612903225806,0.1,31.0
66,0.07142857142857142,0.10714285714285714,0.08571428571428572,28.0
90,0.09523809523809523,0.07142857142857142,0.08163265306122448,28.0
77,0.07142857142857142,0.046511627906976744,0.056338028169014086,43.0
14,0.08333333333333333,0.03333333333333333,0.047619047619047616,30.0
100,0.08333333333333333,0.027777777777777776,0.041666666666666664,36.0
1,0.045454545454545456,0.03125,0.037037037037037035,32.0
16,0.0,0.0,0.0,49.0
55,0.0,0.0,0.0,35.0
45,0.0,0.0,0.0,40.0
46,0.0,0.0,0.0,37.0
71,0.0,0.0,0.0,30.0
37,0.0,0.0,0.0,34.0
62,0.0,0.0,0.0,43.0
60,0.0,0.0,0.0,49.0
