Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,15.79,44.16
60.0,15.93,44.16
90.1,15.84,44.15
120.1,15.83,44.17
150.1,15.87,44.15
180.1,15.85,44.16
210.1,15.92,44.16
240.2,15.95,44.16
270.2,15.9,44.16
300.2,15.94,44.15
330.3,15.94,44.16
360.3,15.9,44.14
390.3,15.83,44.16
420.3,15.87,44.17
450.4,15.9,44.14
480.5,15.91,44.15
510.5,15.92,44.16
540.5,15.89,44.16
570.5,15.91,44.17
600.5,15.93,44.14
630.6,15.92,44.15
660.6,15.86,44.16
690.6,15.94,44.16
720.7,15.84,44.14
750.7,15.95,44.14
780.8,15.97,44.14
810.8,15.95,44.15
840.8,15.78,44.16
870.9,15.95,44.15
900.9,15.84,44.17
930.9,15.93,44.15
961.0,15.86,44.17
991.0,15.71,44.19
1021.0,15.94,44.16
1051.1,15.95,44.16
1081.1,15.99,44.17
1111.2,15.8,44.16
1141.2,15.89,44.16
1171.2,16.0,44.16
1201.2,15.88,44.16
1231.3,15.9,44.16
1261.3,15.88,44.15
1291.4,15.86,44.17
1321.4,15.93,44.15
1351.4,15.61,44.17
1381.5,15.78,44.17
1411.5,15.63,44.16
1441.5,15.82,44.16
1471.5,15.75,44.18
1501.5,15.82,44.15
1531.6,15.65,44.16
1561.6,15.88,44.15
1591.6,15.83,44.17
1621.7,15.81,44.17
1651.7,15.85,44.16
1681.7,15.86,44.18
1711.7,15.83,44.16
1741.7,15.89,44.16
1771.7,15.86,44.17
