Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,23.92,24.41
60.0,25.04,24.31
90.1,25.34,24.31
120.1,25.27,24.31
150.1,25.7,24.31
180.2,24.94,24.35
210.2,24.95,24.31
240.2,25.06,24.31
270.2,24.76,24.31
300.3,25.6,24.31
330.3,25.15,24.31
360.3,25.29,24.31
390.3,25.0,24.31
420.3,25.03,24.31
450.3,25.26,24.31
480.4,24.38,24.31
510.4,25.29,24.31
540.4,24.43,24.31
570.4,25.39,24.31
600.4,25.12,24.31
630.4,25.06,24.31
660.4,25.47,24.32
690.5,25.7,24.31
720.5,25.36,24.32
750.5,25.2,24.31
780.6,24.97,24.31
810.6,24.8,24.34
840.6,25.19,24.32
870.6,24.61,24.31
900.6,25.5,24.31
930.7,25.36,24.31
960.7,25.08,24.31
990.7,25.44,24.31
1020.7,25.18,24.31
1050.8,25.09,24.32
1080.8,25.26,24.31
1110.8,25.14,24.32
1140.8,25.4,24.31
1170.8,24.69,24.31
1200.9,24.32,24.31
1230.9,25.47,24.32
1260.9,24.85,24.31
1290.9,25.06,24.31
1321.0,25.26,24.31
1351.0,25.12,24.31
1381.0,25.31,24.31
1411.0,25.31,24.32
1441.1,25.14,24.31
1471.1,25.42,24.31
1501.1,24.85,24.31
1531.1,24.95,24.31
1561.2,25.25,24.31
1591.2,24.94,24.31
1621.2,25.51,24.32
1651.2,25.56,24.31
1681.2,25.19,24.31
1711.3,25.48,24.31
1741.3,25.0,24.31
1771.3,25.21,24.31
