Class_Index,precision,recall,f1-score,support
11,1.0,1.0,1.0,40.0
15,1.0,0.8372093023255814,0.9113924050632911,43.0
8,0.8947368421052632,0.918918918918919,0.9066666666666666,37.0
25,0.9736842105263158,0.8222222222222222,0.891566265060241,45.0
43,0.7796610169491526,1.0,0.8761904761904762,46.0
86,0.9642857142857143,0.7941176470588235,0.8709677419354839,34.0
73,0.8085106382978723,0.926829268292683,0.8636363636363636,41.0
94,0.8125,0.9069767441860465,0.8571428571428571,43.0
40,0.7555555555555555,0.9714285714285714,0.85,35.0
99,0.8604651162790697,0.8222222222222222,0.8409090909090909,45.0
87,0.8055555555555556,0.8787878787878788,0.8405797101449275,33.0
84,0.8292682926829268,0.8292682926829268,0.8292682926829268,41.0
21,0.9642857142857143,0.6923076923076923,0.8059701492537313,39.0
41,0.7096774193548387,0.8979591836734694,0.7927927927927928,49.0
49,0.6666666666666666,0.8823529411764706,0.759493670886076,34.0
6,0.875,0.6511627906976745,0.7466666666666667,43.0
63,0.7692307692307693,0.7142857142857143,0.7407407407407407,28.0
70,0.6415094339622641,0.8717948717948718,0.7391304347826086,39.0
65,0.7058823529411765,0.7741935483870968,0.7384615384615385,31.0
18,0.5833333333333334,1.0,0.7368421052631579,28.0
5,0.6229508196721312,0.8837209302325582,0.7307692307692307,43.0
26,0.6440677966101694,0.8444444444444444,0.7307692307692307,45.0
85,0.7586206896551724,0.6875,0.7213114754098361,32.0
67,0.6530612244897959,0.8,0.7191011235955056,40.0
10,0.8,0.631578947368421,0.7058823529411765,38.0
52,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
82,0.5,0.9354838709677419,0.651685393258427,31.0
53,0.7105263157894737,0.6,0.6506024096385542,45.0
72,0.5217391304347826,0.8571428571428571,0.6486486486486487,28.0
81,0.6129032258064516,0.6785714285714286,0.6440677966101694,28.0
95,0.6428571428571429,0.6428571428571429,0.6428571428571429,28.0
24,0.5555555555555556,0.7575757575757576,0.6410256410256411,33.0
9,0.5789473684210527,0.6875,0.6285714285714286,48.0
93,0.5208333333333334,0.78125,0.625,32.0
56,0.65625,0.5675675675675675,0.6086956521739131,37.0
35,0.6136363636363636,0.6,0.6067415730337079,45.0
48,0.8888888888888888,0.4444444444444444,0.5925925925925926,36.0
29,0.72,0.5,0.5901639344262295,36.0
30,0.5833333333333334,0.5675675675675675,0.5753424657534246,37.0
88,0.65625,0.5,0.5675675675675675,42.0
61,0.45569620253164556,0.75,0.5669291338582677,48.0
51,0.6666666666666666,0.4864864864864865,0.5625,37.0
62,0.782608695652174,0.4186046511627907,0.5454545454545454,43.0
80,0.5882352941176471,0.5,0.5405405405405406,40.0
