Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,21.24,26.96
60.0,22.66,25.61
90.1,22.59,25.63
120.1,22.56,25.6
150.1,22.37,25.61
180.1,22.5,25.62
210.2,22.3,25.62
240.2,22.39,25.61
270.2,22.52,25.61
300.2,22.41,25.61
330.2,22.44,25.62
360.3,22.39,25.62
390.3,22.56,25.61
420.3,22.34,25.61
450.3,22.32,25.62
480.4,22.34,25.61
510.4,22.27,25.61
540.4,22.24,25.62
570.4,22.15,25.66
600.5,22.2,25.65
630.5,22.29,25.65
660.5,22.32,25.63
690.5,22.12,25.63
720.5,22.33,25.62
750.5,22.32,25.62
780.6,22.37,25.62
810.6,22.39,25.62
840.6,22.31,25.62
870.7,22.34,25.61
900.7,22.33,25.62
930.7,22.37,25.63
960.7,22.28,25.61
990.8,22.38,25.61
1020.8,22.45,25.61
1050.8,22.37,25.62
1080.9,22.21,25.62
1110.9,22.32,25.62
1140.9,22.38,25.62
1170.9,22.33,25.63
1201.0,22.21,25.62
1231.0,22.32,25.62
1261.0,22.21,25.62
1291.0,22.37,25.62
1321.0,22.26,25.62
1351.0,22.24,25.62
1381.1,22.24,25.62
1411.1,21.93,25.63
1441.1,22.29,25.63
1471.2,22.11,25.64
1501.2,22.18,25.61
1531.2,22.21,25.61
1561.2,22.4,25.61
1591.3,22.21,25.61
1621.3,22.32,25.61
1651.3,22.3,25.6
1681.3,22.35,25.6
1711.3,22.38,25.61
1741.4,22.48,25.6
1771.4,21.95,25.6
