Class_Index,precision,recall,f1-score,support
8,0.8285714285714286,0.7837837837837838,0.8055555555555556,37.0
11,0.6842105263157895,0.975,0.8041237113402062,40.0
43,0.6470588235294118,0.9565217391304348,0.7719298245614035,46.0
70,0.7209302325581395,0.7948717948717948,0.7560975609756098,39.0
25,0.6296296296296297,0.7555555555555555,0.6868686868686869,45.0
85,0.6285714285714286,0.6875,0.6567164179104478,32.0
72,0.5833333333333334,0.75,0.65625,28.0
15,0.7352941176470589,0.5813953488372093,0.6493506493506493,43.0
41,0.5194805194805194,0.8163265306122449,0.6349206349206349,49.0
84,0.4925373134328358,0.8048780487804879,0.6111111111111112,41.0
63,0.8125,0.4642857142857143,0.5909090909090909,28.0
96,0.6060606060606061,0.5714285714285714,0.5882352941176471,35.0
24,0.68,0.5151515151515151,0.5862068965517241,33.0
48,0.4411764705882353,0.8333333333333334,0.5769230769230769,36.0
87,0.4264705882352941,0.8787878787878788,0.5742574257425742,33.0
95,0.6666666666666666,0.42857142857142855,0.5217391304347826,28.0
30,0.5277777777777778,0.5135135135135135,0.5205479452054794,37.0
18,0.41304347826086957,0.6785714285714286,0.5135135135135135,28.0
40,0.48717948717948717,0.5428571428571428,0.5135135135135135,35.0
94,0.4153846153846154,0.627906976744186,0.5,43.0
82,0.4473684210526316,0.5483870967741935,0.4927536231884058,31.0
49,0.3611111111111111,0.7647058823529411,0.49056603773584906,34.0
67,0.6818181818181818,0.375,0.4838709677419355,40.0
99,0.3835616438356164,0.6222222222222222,0.4745762711864407,45.0
56,0.8571428571428571,0.32432432432432434,0.47058823529411764,37.0
21,0.5,0.4358974358974359,0.4657534246575342,39.0
86,0.45714285714285713,0.47058823529411764,0.463768115942029,34.0
88,0.6,0.35714285714285715,0.44776119402985076,42.0
81,0.41935483870967744,0.4642857142857143,0.4406779661016949,28.0
27,0.625,0.29411764705882354,0.4,34.0
10,0.4642857142857143,0.34210526315789475,0.3939393939393939,38.0
61,0.3559322033898305,0.4375,0.3925233644859813,48.0
39,0.55,0.2972972972972973,0.38596491228070173,37.0
13,0.5263157894736842,0.30303030303030304,0.38461538461538464,33.0
31,0.46153846153846156,0.32432432432432434,0.38095238095238093,37.0
73,0.37209302325581395,0.3902439024390244,0.38095238095238093,41.0
80,0.38461538461538464,0.375,0.379746835443038,40.0
6,0.2765957446808511,0.6046511627906976,0.3795620437956204,43.0
36,0.3333333333333333,0.42857142857142855,0.375,28.0
4,0.3333333333333333,0.3870967741935484,0.3582089552238806,31.0
46,0.3611111111111111,0.35135135135135137,0.3561643835616438,37.0
50,0.4583333333333333,0.28205128205128205,0.3492063492063492,39.0
32,0.35135135135135137,0.3333333333333333,0.34210526315789475,39.0
26,0.25925925925925924,0.4666666666666667,0.3333333333333333,45.0
92,0.2463768115942029,0.4473684210526316,0.3177570093457944,38.0
76,0.3793103448275862,0.2558139534883721,0.3055555555555556,43.0
42,0.32142857142857145,0.2647058823529412,0.2903225806451613,34.0
52,0.2777777777777778,0.30303030303030304,0.2898550724637681,33.0
51,0.3333333333333333,0.24324324324324326,0.28125,37.0
64,0.25,0.29545454545454547,0.2708333333333333,44.0
5,0.21052631578947367,0.37209302325581395,0.2689075630252101,43.0
68,0.6,0.17142857142857143,0.26666666666666666,35.0
22,0.23404255319148937,0.3055555555555556,0.26506024096385544,36.0
29,0.22916666666666666,0.3055555555555556,0.2619047619047619,36.0
28,0.36363636363636365,0.2,0.25806451612903225,40.0
7,0.2857142857142857,0.22857142857142856,0.25396825396825395,35.0
91,0.24,0.24489795918367346,0.24242424242424243,49.0
93,0.18333333333333332,0.34375,0.2391304347826087,32.0
44,0.4166666666666667,0.16129032258064516,0.23255813953488372,31.0
89,0.2692307692307692,0.1794871794871795,0.2153846153846154,39.0
83,0.2692307692307692,0.1794871794871795,0.2153846153846154,39.0
2,0.1875,0.21951219512195122,0.20224719101123595,41.0
19,0.19444444444444445,0.19444444444444445,0.19444444444444445,36.0
78,0.25925925925925924,0.15217391304347827,0.1917808219178082,46.0
75,0.21428571428571427,0.16666666666666666,0.1875,36.0
38,0.20588235294117646,0.17073170731707318,0.18666666666666668,41.0
35,0.125,0.24444444444444444,0.16541353383458646,45.0
90,0.17391304347826086,0.14285714285714285,0.1568627450980392,28.0
34,0.13636363636363635,0.18181818181818182,0.15584415584415584,33.0
23,0.17073170731707318,0.14285714285714285,0.15555555555555556,49.0
65,0.17391304347826086,0.12903225806451613,0.14814814814814814,31.0
74,0.14285714285714285,0.14705882352941177,0.14492753623188406,34.0
98,0.12244897959183673,0.17142857142857143,0.14285714285714285,35.0
0,0.11475409836065574,0.1590909090909091,0.13333333333333333,44.0
9,0.125,0.125,0.125,48.0
3,0.13333333333333333,0.11428571428571428,0.12307692307692308,35.0
59,0.1016949152542373,0.14634146341463414,0.12,41.0
66,0.10256410256410256,0.14285714285714285,0.11940298507462686,28.0
69,0.2857142857142857,0.07142857142857142,0.11428571428571428,28.0
79,0.13636363636363635,0.09375,0.1111111111111111,32.0
12,0.0821917808219178,0.15789473684210525,0.10810810810810811,38.0
14,0.13333333333333333,0.06666666666666667,0.08888888888888889,30.0
54,0.1,0.058823529411764705,0.07407407407407407,34.0
1,0.3333333333333333,0.03125,0.05714285714285714,32.0
47,0.05555555555555555,0.05263157894736842,0.05405405405405406,38.0
77,0.044444444444444446,0.046511627906976744,0.045454545454545456,43.0
97,0.05263157894736842,0.027777777777777776,0.03636363636363636,36.0
33,0.034482758620689655,0.030303030303030304,0.03225806451612903,33.0
55,0.03333333333333333,0.02857142857142857,0.03076923076923077,35.0
100,0.030303030303030304,0.027777777777777776,0.028985507246376812,36.0
37,0.0,0.0,0.0,34.0
45,0.0,0.0,0.0,40.0
20,0.0,0.0,0.0,33.0
17,0.0,0.0,0.0,37.0
16,0.0,0.0,0.0,49.0
53,0.0,0.0,0.0,45.0
57,0.0,0.0,0.0,33.0
58,0.0,0.0,0.0,44.0
60,0.0,0.0,0.0,49.0
62,0.0,0.0,0.0,43.0
71,0.0,0.0,0.0,30.0
