Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,18.38,35.27
60.1,18.42,35.22
90.1,18.54,35.21
120.1,18.38,35.2
150.2,18.32,35.21
180.2,18.48,35.2
210.2,18.62,35.2
240.3,18.47,35.21
270.3,18.49,35.21
300.3,18.42,35.21
330.3,18.46,35.21
360.3,18.46,35.21
390.3,18.46,35.21
420.4,18.5,35.2
450.4,18.56,35.13
480.4,18.51,35.16
510.5,18.45,35.18
540.5,18.54,35.18
570.5,18.53,35.23
600.6,18.61,35.22
630.6,18.55,35.21
660.6,18.44,35.21
690.6,18.5,35.2
720.7,18.57,35.19
750.7,18.49,35.21
780.7,18.56,35.2
810.7,18.56,35.2
840.7,18.56,35.2
870.7,18.51,35.2
900.8,18.5,35.2
930.8,18.49,35.2
960.9,18.54,35.2
990.9,18.44,35.21
1020.9,18.47,35.2
1050.9,18.56,35.2
1081.0,18.55,35.2
1111.0,18.53,35.2
1141.0,18.49,35.21
1171.0,18.54,35.19
1201.0,18.55,35.21
1231.1,18.45,35.2
1261.1,18.56,35.19
1291.1,18.49,35.2
1321.1,18.41,35.21
1351.2,18.46,35.21
1381.2,18.5,35.2
1411.2,18.53,35.22
1441.3,18.54,35.21
1471.3,18.45,35.21
1501.3,18.5,35.21
1531.4,18.5,35.2
1561.4,18.5,35.21
1591.4,18.43,35.22
1621.4,18.41,35.21
1651.4,18.25,35.21
1681.4,18.49,35.21
1711.5,18.49,35.21
1741.5,18.34,35.22
1771.5,18.59,35.21
