Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,25.34,22.08
60.1,24.88,22.03
90.1,25.54,22.03
120.1,25.48,22.03
150.1,25.31,22.03
180.2,25.01,22.03
210.2,24.94,22.03
240.2,25.02,22.03
270.2,24.74,22.03
300.3,25.04,22.03
330.3,25.35,22.03
360.3,25.06,22.03
390.3,25.19,22.03
420.3,25.05,22.03
450.3,24.86,22.03
480.4,25.32,22.04
510.4,24.97,22.03
540.4,25.84,22.03
570.4,24.92,22.03
600.4,25.21,22.04
630.4,24.97,22.03
660.5,25.77,22.03
690.5,24.7,22.03
720.5,25.04,22.03
750.5,25.15,22.03
780.5,24.5,22.03
810.6,25.71,22.03
840.6,25.33,22.02
870.6,25.11,22.03
900.7,25.52,22.03
930.7,25.53,22.03
960.7,25.38,22.02
990.7,24.95,22.03
1020.7,24.94,22.03
1050.8,24.94,22.03
1080.8,24.92,22.03
1110.8,25.38,22.03
1140.8,25.59,22.03
1170.8,25.09,22.03
1200.9,25.41,22.04
1230.9,25.9,22.03
1260.9,25.64,22.03
1291.0,25.04,22.03
1321.0,25.46,22.03
1351.0,24.77,22.03
1381.0,25.6,22.03
1411.1,25.48,22.03
1441.1,25.18,22.03
1471.1,25.26,22.03
1501.2,25.31,22.03
1531.2,25.4,22.03
1561.2,25.13,22.03
1591.2,25.46,22.03
1621.2,25.5,22.03
1651.2,25.05,22.03
1681.2,25.59,22.03
1711.3,25.04,22.03
1741.3,25.52,22.03
1771.3,25.03,22.03
